English,Bahasa Melayu,简体中文,繁體中文,日本語,Arabic - العربية - AR,Arabic- Extra,Bahasa Indonesia,Dutch,Svenska,Filipino (Tagalog),Español (México),German/ Deutsch,Myanmar,Polish/Polski,Italian/Italiano,Hindi
Cases identified on a cruise ship currently in Japanese territorial waters.,,,,日本の領海にあるクルーズで確認されたケース,حالات تم اكتشافها كانت على متن باخرة بحرية في المياه الاقليمية اليابانية.,,,,Identifierade fall på ett kryssningsfartyg som just nu befinner sig på japanskt territorialvatten.,Ang mga kaso na nasuri sa isang barko ng cruise na kasalukuyang nasa teritoryo ng Hapon.,Casos identificados en el crucero estacionado en las aguas territoriales de Japón.,"Fälle, die auf einem Kreuzfahrtschiff identifiziert wurden, welches sich derzeit in japanischen Hoheitsgewässern befindet.",,,Casi identificati su una nave da crociera attualmente in acque territoriali giapponesi,
Full list here,Senarai penuh disini,,,全目録はこちら,اطلع على القائمة الكاملة,,,,Hela listan här,Kumpletong Listahan Dito,Lista completa,Komplette Liste,,,Lista completa qui,
Steps,Langkah-langkah,步骤,步驟,手順、方法,خطوات,,,,Steg,Mga Hakbang,Pasos,"Maßnahmen (NOTE: I did not translate the original word, because it is not common in this context) ",,,Passi,
to prevent coronavirus,untuk menghalang coronavirus,预防病毒,預防病毒,感染予防,الوقاية من فيروس كورونا,,,,för att förhindra coronaviruset,para mapigilan ang coronavirus,para prevenir el coronavirus,", um eine Infektion mit dem Corona-Virus zu verhindern
(NOTE: do not forget to place the comma)",,,per prevenire il coronavirus,
Read and share this with others,Baca dan kongsi dengan yang lain,,閱讀及與他人分享,目を通して共有しましょう,اقرأ و شاركه مع الآخرين,,,,Läs och dela det här med andra,Basahin at ipamahagi sa ibang tao,Léelo y compártelo con otros ,Bitte lesen und teilen Sie,,,Leggi e condividi,
Learn how,Belajar Bagaimana Cara,,學習如何,学びましょう,اعرف كيف!,,,,Läs mer,Alamin kung paano,Aprende cómo,"Mehr erfahren
(NOTE: I did not translate the original word, because it is not common in this context) ",,,Impara come,
Screening Centres,Pusat Tapisan,,防疫中心,検査センター,مراكز الفحص,,,,Screening Center,Screening Centres,Centros de Detección,"Screening-Zentren
(NOTE: In Germany, there are no screening centers, people have to inform the doctor or to contact the local public health department)",,,Centri di valutazione,
Select Region,Pilih Kawasan,,選擇區域,地域を選択,اختر المنطقة,,,,Välj region,Piliin ang Rehiyon,Seleccionar Región,Region auswählen,,,Seleziona la regione,
Help us collate the locations for your country!,Bantu kami untuk mengumpulkan data lokasi negara anda,,幫助我們整理您所在國家的位置!,自国で確認された感染者数の情報共有をご協力願います,ساعدنا في تجميع المراكز في دولتك,,,,Hjälp oss att sammanställa platserna för ditt land!,Tulungan mo kaming likumin ang mga lokasyon para sa iyong bansa,¡Ayúdanos a comparar los terriotorios de tu país!,"Helfen Sie uns, die Standorte für Ihr Land zusammenzustellen!",,,aiutaci a collocare i luoghi nella tua nazione,
Join our Telegram group,Sertai saluran Telegram kami,,加入我們的 Telegram 群組,我々のTelegramグループへのご参加をお待ちしております,انضم إلى قناتنا على التليجرام,,,,Gå med i vår Telegram grupp,Sumali sa aming grupo sa Telegram,Únete a nuestro grupo en Telegram,Schließen Sie sich unserer Telegram-Gruppe an.,,,unisciti al nostro gruppo Telegram,
GET IT ON,"""Mari Mulakan!""",,,始めましょう！,GET IT ON,,,,Sätt igång!,Tara na! ,Comenzar,Starten,,,,
,,,,,,,,,,,,,,,,
Travel Alert - https://www.coronatracker.com/travel-alert,,,,,,,,,,,,,,,,
Travel Alert Information,Informasi Notis Perjalanan,,,渡航危険情報,معلومات عن تحذيرات السفر,,,,Reseinformation,Impormasyon sa Paglalakbay,Información sobre Alertas de Viajes,Informationen über Reisewarnungen,,,Avvisi per i viaggiatori,
Select Country,Pilih Negara,,,国を選択してください,اختر الدولة,,,,Välj land,Piliin ang Bansa,Seleccionar País,Land auswählen,,,seleziona il Paese,
,,,,,,,,,,,,,,,,
What is 2019-nCov - https://www.coronatracker.com/causes,,,,,,,,,,,,,,,,
What is COVID-19?,Apa itu COVID-19?,,,COVID-19とは,ما هو فيروس كورونا المستجد (COVID-19)؟,,,,Vad är 2019-mCov viruset?,Ano ang COVID-19 virus?,¿Qué es el virus COVID-19?,Was ist das COVID-19-Virus?,,,cos'è il virus COVID-19?,
,,,,,,,,,,,,,,,,
Prevention - https://www.coronatracker.com/prevention,,,,,,,,,,,,,,,,
"We will update this page with resources related to nCov prevention, here is a quick guide from WHO.","Kami akan mengemaskini laman sesawang ini dengan sumber yang berkaitan dengan nCov, berikut adalah maklumat ringkas dari WHO",,,このページは、nCOvの感染予防に関する情報を更新します。WHOからのクイックガイドをこちらからご覧になれます。,سنقوم بتحديث هذه الصفحة بمصادر تتعلق بسبل الوقاية من فيروس كورونا المستجد. في الوقت الراهن، يمكنك الإطلاع على هذا الدليل المختصر من منظمة الصحة العالمية.,,,,"Vi kommer att uppdatera den här sidan med resurser relaterade till förebyggande av nCov, här är en snabbguide från WHO.","Patuloy naming iu-update ang pahinang ito gamit ang mga mapagkukunan na may kaugnayan sa pag-iwas sa nCov, narito ang isang panuntunan mula sa WHO.",Mantenemos esta página actualizada con recursos relacionados a la prevención del nCov. Aquí hay una guía rápida de la OMS.,Wir werden diese Seite mit Ressourcen zur nCov-Prävention aktualisieren. Hier ist eine Kurzanleitung der WHO.,,,Stiamo aggiornando questa pagina  con diverso materiale riguardante la prevenzione del virus nCov. Qui  la guida veloceredatta dall'organizzazione mondiale della sanità.,
,,,,,,,,,,,,,,,,
Analytics - https://www.coronatracker.com/analytics,,,,,,,,,,,,,,,,
Overview,Secara Keseluruhan,,,概要、要約,نظرة عامة,,,,Översikt,Pangkalahatang Ideya,Resumen,Übersicht,,,Panoramica generale,
Reports,Senarai Laporan,,,検査を受けた人数,تقارير,,,,Rapporter,Mga Ulat,Reportes,Berichte,,,Report,
Total Confirmed,Jumlah Disahkan,,,感染確認人数,الحالات المؤكدة,,,,Totalt antal bekräftade ,Total ng Kumpirmado,Total Confirmados,Bestätigte Fälle kumuliert,,,Casi totali confermati,
Total Recovered,Jumlah Pulih,,,完治・退院人数,الحالات المتعافية,,,,Totalt antal tillfrisknade,Total ng Gumaling,Total Recuperados,Genesungsfälle kumuliert,,,Totale guariti,
Total Deaths,Jumlah Kematian,,,死亡人数,الحالات المتوفية,,,,Totalt antal döda,Total ng Namatay,Total Decesos,Todesfälle kumuliert,,,Totale morti,
Outbreak trend over time,Perkembangan penyebaran virus dengan masa,,,長期発生傾向,ميل تفشي الفيروس مع مرور الوقت,,,,Sjukdomsfrekvens över tid,Pagsiklab ng trend sa paglipas ng panahon,Evolución de la epidemia,Entwicklung der Pandemie,,,andamento dell'epidemia nel tempo,
Most affected regions,Kawasan paling terjejas,,,最深刻被影響地域,أكثر المناطق المتأثرة,,,,Mest drabbade områden,Mga apektadong rehiyon,Regiones más afectadas,Am meisten betroffene Gebiete,,,Regioni più colpite,
Top countries with daily new cases,,,,毎日更新(トップ国),,,,,,Mga bansang may mga pinakamatataas na bagong kaso,Países con mayor número de nuevos casos,Länder mit den meisten neuen Fällen am Tag,,,Regioni principali con nuovi casi giornalieri,
Daily New Cases,,,,新しい感染者数,,,,,,Talaan ng Bagong Kaso Kada Araw,Nuevos Casos Diarios,Neue Fälle/Tag,,,Nuovi casi nel giorno,
Daily New Deaths,,,,新しい死亡者数,,,,,,Talaan ng Bagong Mga Namatay Kada Araw,Nuevos Decesos Diarios,Neue Todesfälle/Tag,,,Morti nella giornata,
,,,,,,,,,,,,,,,,
About - https://www.coronatracker.com/about,,,,,,,,,,,,,,,,
About CoronaTracker,Tentang CoronaTracker,,,CoronaTrackerについて,عن CoronaTracker,,,,Om CoronaTracker,Tungkol sa CoronaTracker,Sobre el CoronaTracker,Über den Corona-Tracker,,,cos'è CoronaTracker,
"CORONATRACKER.com is a community-based project powered by over 460 volunteers from across the globe, ranging from data scientists, medical professionals, UI/UX designers, fullstack developers, to the general public.","CoronaTracker adalah projek jalinan kerjasama yang dimenterai dikalangan lebih 460 sukarelawan dari pelbagai bidang dan disegenap tempat, dari saintis data, pengamal perubatan profesional, perekabentuk UI/UX, pembangun perisian sehingga ke penglibatan orang awam.",,,CORONATRACKER.comは、データサイエンティスト、医療専門家、UI / UXデザイナー、フルスタック開発者から一般市民まで、世界中の460人以上のボランティアによって運営されているコミュニティベースのプロジェクトです。,يعتمد مشروع CORONATRACKER.com بالكامل على المشاركة المجتمعية بمساهمة أكثر من 460 متطوع من حول العالم، ما بين علماء بيانات، عاملين في المجال الطبي، مصممي واجهات مستخدم، مبرمجي ويب، و مساهمين من العامة.,,,,"CORONATRACKER.com är ett gemensamt projekt som drivs av 460 volontärer över hela världen, från data scientists, läkare, UI/UX designers, fullstack utvecklare till allmänheten.","Ang CORONATRACKER.com ay isang proyektong nakabatay sa komunidad na pinalakas ng higit sa 460 mga boluntaryo mula sa buong mundo, mula sa mga datos na siyentipiko, mga propesyonal sa medikal, mga designer ng UI / UX, mga developer ng fullstack, at pampubliko sa pangkalahatan. ","CORONATRACKER.com es un proyecto comunitario llevado a cabo por más de 460 voluntarios alrededor del mundo. Incluyendo científicos de datos, profesionales médicos, diseñadores UI/UX, desarrolladores fullstack hasta público en general.","CORONATRACKER.com ist ein Community-basiertes Projekt, das von über 460 Freiwilligen aus der ganzen Welt unterstützt wird, von Datenwissenschaftlern, Medizinern, UI / UX-Designern, Fullstack-Entwicklern bis hin zu allgemeinem Publikum.",,,"CORONATRACKER.com è un progetto comunitario sostenuto da oltre 460 volontari  da tutto il mondo, che vanno da data scientists, professionisti nel settore medico, UI/UX designers, sviluppatori full stack al grande pubblico ",
"It acts as a portal for the public to keep track of the latest news development about the COVID-19, alongside collecting data for further analysis. All the contents are handpicked, filtered, and curated by volunteers to our best extent to ensure that sources are reliable with minimal hoaxes and fake news, in the best benefit of the public. Natural Language Processing (NLP) is used to analyze trending content and identify meaningful topics over various news sources and social media platforms prior to being verified by our team.","Ia merupakan portal yang disediakan untuk orang awam bagi mendapatkan perkembangan terkini tentang virus COVID-19, sekaligus mengumpul data untuk kegunaan analisis pada masa hadapan. Keseluruhan kandungan didalam portal ini dipilih sendiri, disaring dan disunting sehabis baik oleh pasukan sukarelawan demi memastikan sumber yang diperolehi adalah sah dan meminimakan maklumat palsu. Mengaplikasikan kaedah Natural Language Processing untuk menganalisis kandungan yang sedang dalam aliran menaik disamping menentukan kandungan yang berkualiti dan bermakna dari pelbagai sumber dan pelantar medsos sebelum ianya disahkan oleh pasukan sukarelawan kami.",,,Corona Trackerはデータ分析のためのデータ収集するとともに、誰もががCOVID-19の最新情報を確認できるように一つのポータルである。全ての情報は我々のチームが厳選し、信頼性が高いと正確な情報のみを提供します。チームがコンテンツを厳選する前に、自然言語処理(NLP)を用いて、コンテンツを分析し、さまざまなニュースソースやソーシャルメディアプラットフォーム上で意味のあるトピックを識別します。,يعمل المشروع بمثابة منصة متاحة للعامة للاطلاع على آخر الأخبار و التطورات المتعلقة بفيروس كورونا المستجد (COVID-19)، كما يعمل المشروع على تجميع بيانات و داتا بغرض تحليلها بشكل معمق. جميع المحتوى المعروض على الموقع يتم اختياره يدويا، تصفيته، و تنقيحه من قبل متطوعينا من أجل التأكد من أن كل المصادر موثوقة و يعتمد عليها، و خالية تماما من أي أخبار كاذبة أو غير موثوقة بغرض حصول العامة على أكبر قدر من الاستفادة. كما أننا نستخدم تقنية معالجة اللغة الطبيعية (Natural Language Processing NLP) لتحليل المحتوى الرائج المرتبط بفيروس كورونا على شبكات التواصل الاجتماعي و مصادر الأخبار المختلفة قبل أن يتم مراجعتها و التأكد منها من قبل فريقنا.,,,,"Det är en portal för allmänheten för att kunna hålla reda på de senaste nyhetsutvecklingarna om COVID-19, tillsammans med att samla in data för fortsatt analys. Allt innehåll är handplockat, filtrerat och förvaltat av volontärer som gör sitt bästa för att se till att källor är tillförlitliga och har minimalt med falska nyheter, till fördel för allmänheten. Naturligt språkprocessering (NLP) används för att analysera trendande innehåll och identifiera meningsfulla ämnen över varierande nyhetskällor och sociala medier innan det verifieras av vårt team.","
Ito ay isang portal para sa publiko na subaybayan ang pinakabagong mga balita tungkol sa COVID-19, kasabay ang pagkolekta ng data para sa karagdagang pagsusuri. Ang lahat ng mga nilalaman ay sinala at ginawang mabuti ng mga volunteers upang masiguro na maaasahan ang mga mapagkukunan na walang bahid ng panloloko at pekeng balita, para sa pinakamagandang pakikinabang ng publiko. Ginagamit ang Likas na Pagproseso ng Wika (natural language processing o NLP) upang pag-aralan ang nilalaman ng trending na mga datos at makilala ang mga makabuluhang paksa sa iba't ibang mga mapagkukunan ng balita at mga plataporma ng social media.","Este es un portal diseñado para que el público pueda mantenerse informado con las noticias más recientes de la evolución del COVID-19, junto con datos y análisis. Para el beneficio los usuarios y para evitar caer en información falsa, todos los contenidos son cuidadosamente seleccionados, filtrados y evaluados por voluntarios para asegurarse de que las fuentes de información presentada sean lo más fidedignas posibles. Se utiliza Natural language Processing (Procesamiento de Lenguajes Naturales) para analizar el contenido de diversas fuentes y redes sociales e identificar tendencias y tópicos de interés, que posteriormente son verificados por nuestro equipo.","Der Tracker dient als Portal für die Öffentlichkeit, um die neuesten Nachrichten über die COVID-19-Pandemie zu verfolgen und Daten für weitere Analysen zu sammeln. Alle Inhalte werden von Freiwilligen handverlesen, gefiltert und kuratiert, um sicherzustellen, dass zum besten Nutzen der Öffentlichkeit die Quellen zuverlässig sind und nur minimal Falschnachrichten vorliegen. Natural Language Processing (NLP) wird verwendet, um Trendinhalte zu analysieren und wichtige Themen über verschiedene Nachrichtenquellen und Social-Media-Plattformen zu identifizieren, bevor sie von unserem Team überprüft werden.",,,il sito funziona come un portale per tenere traccia delle ultime notizie riguardo gli sviluppi del COVID19,
"CORONATRACKER.com also aims to gather data for in-depth analysis (e.g. time series to monitor the growth, spread of the virus) and localized news (e.g. news related to Malaysia, or KL only).The platform is vital for information consolidation, and all gathered information is open to use for the public.This is a 100% open source project, all information and publishable data are available on Github as well. Everyone is welcomed to contribute through our Telegram channel.",,,,CORONATRACKER.comは、詳細な分析（例：ウイルスの増殖、拡散を監視する時系列）とローカライズされたニュース（マレーシアに関連するニュース、またはKLのみ）のデータを収集することも目的としています。プラットフォームは情報の統合に不可欠であり、 収集されたすべての情報は一般に公開されます。こプロジェクトは100％オープンソースのプロジェクトであり、すべての情報と公開可能なデータはGithubでも入手できます。 我々のTelegramチャンネルから誰でも貢献することができます。,كما يهدف مشروع CORONATRACKER.com إلى تجميع بيانات و داتا مكثفة بغرض تحليلها بشكل معمق ( التسلسل الزمنى لتتبع انتشار الفيروس مثلا)، و كذلك الأخبار المحلية (مثال: الأخبار المرتبطة بماليزيا أو كوالالمبور فقط). تلعب هذه المنصة دورا هاما في تعزيز وتزويد المعلومات، كما أن كل المعلومات الواردة عليها متاحة للاستخدام العام. مشروع CORONATRACKER.com مفتوح المصدر بالكامل، فكل المعلومات و البيانات المنشورة عليه متاحة على Github. و أي شخص يمكنه أن يشارك معنا من خلال قناتنا على التليجرام.,,,,"CORONATRACKER.com har också som mål att samla in data för fördjupad analys (med andra ord tidsserier för att övervaka tillväxten och spridningen av viruset) och lokalisera nyheter (till exempel nyheter relaterade till Malaysia, eller Kuala Lumpur endast). Plattformen är vital för att sammanföra information, och all samlad information är öppen att använda för allmänheten. Det här är ett 100% öppen källkodsprojekt, och all information och publicerad data är tillgänglig på GitHub också. Alla är välkomna att medverka genom vår telegram grupp.","Layon din ng CORONATRACKER.com na kumuha ng data para sa mas malalim na pagsusuri (tulad ng time series sa pagbantay ng paglaki at pagkalat ng virus) at mga balitang lokal (tulad ng balita para lamang sa mga probinsya at siyudad tulad ng Kuala Lumpur). Ang plataporma ay kritikal para sa pagsasama-sama ng impormasyon, at lahat ng makakalap na impormasyon ay bukas para gamitin ng publiko. Ito ay 100% open source na proyekt, lahat ng datos ay maaari ring makita sa Github. Lahat ay minumungkahing magbigay kontribusyon sa pamamagitan ng aming group chat sa Telegram. ","CORONATRACKER.com también recolecta información para análisis (ej: tiempos para monitorear la evolución y propagación del virus) y localizar noticias (ej: noticias relacionadas a determinado país o ciudad). La plataforma es vital para concentrar la información, y toda información recolectada está abierta al uso del público. Este proyecto es 100% open-source y todo su código se encuentra disponible en Github. Cualquiera que desee contribuir es bienvenido en nuestro canal de Telegram.","CORONATRACKER.com zielt auch darauf ab, Daten für eingehende Analysen (z. B. Zeitreihen zur Überwachung des Wachstums und der Ausbreitung des Virus) und lokalisierte Nachrichten (bspw.  Nachrichten über ein bestimmtes Land oder eine bestimmte Stadt) zu sammeln. Die Plattform ist für die Konsolidierung der Informationen von entscheidender Bedeutung. Alle gesammelten Informationen sind für die Öffentlichkeit zugänglich. Dies ist ein zu 100% Open-Source-Projekt. Alle Informationen und publizierbaren Daten sind auch auf Github verfügbar. Jede und jeder ist herzlich eingeladen, über unseren Telegramm-Channel einen Beitrag zu leisten.",,,,
"Our team of data scientists use OSEMN framework to collect, clean, explore, model, and run their own analysis. For ease of public understanding, it is presented using graphic visualizations and dashboards. Through the data obtained, we hope to build machine learning models very soon.",,,,我々のデータサイエンティストチームはOSEMNフレームワークを使用し、データ収集、クリーニング、探索、及びモデル化を実行します。データをより理解しやすいために、ダッシュボードを通じて視覚化します。取得したデータから機械学習モデルを開発することを目指します。,يستخدم فريق علماء البيانات لدينا إطار العمل OSEMN بغرض تجميع، تنقية، و استكشاف البيانات، و كذلك بناء النماذج اللازمة لتحليل هذه البيانات. و لتسهيل هذه البيانات و المعلومات المحللة على العامة يتم عرضها في شكل صور بصرية و لوائح عرض تفاعلية. ايضا نهدف من خلال الداتا المجمعة إلى بناء نماذج للتعلم الآلي (Machine Learning) قريبا.,,,,"Vårt data scientist team använder OSEMN ramverket för att samla in, tvätta data, utforska, modellera och köra egna analyser. För att underlätta för den allmänna förståelsen, presenteras det genom grafisk visualisering och översikt. Genom den inskaffade data vi får hoppas vi kunna bygga maskininlärningsmodeller mycket snart.","Ang lupon ng ating data scientists ay gumagamit ng OSEMN framework upang magkolekta, linis, galugad, model at magpatakbo ng panunuri sa datos. Para sa pang-unawa ng lahat, ito ay pinapakita sa publiko gamit ang mga visualizations at dashboards. Sa pamamagitan ng datos na nakuha, inaaasahang makakapagbuo ng mga models ng machine learning sa nalalapit na panahon. ","Nuestro equipo de científicos de datos usa la OSEMN framework para recolectar, limpiar, explorar, modelar y efectuar sus análisis. Para una fácil asimilación, la información es presentada a través de gráficas y tableros. Usando los datos recolectados, esperamos poder construir modelos de machine learning muy pronto. ","Unser Team von Datenwissenschaftlern verwendet das OSEMN-Framework, um eigene Analysen zu sammeln, zu bereinigen, zu untersuchen, zu modellieren und durchzuführen. Zum besseren Verständnis der Öffentlichkeit wird es mithilfe von grafischen Visualisierungen und Dashboards dargestellt. Wir hoffen, durch die erhaltenen Daten bald Modelle für maschinelles Lernen erstellen zu können.",,,,
We were inspired by the Coronavirus Outbreak Map by John Hopkins University that was very informative. We also recognised the difficulty to gather data for in-depth analysis through various other sources of scattered data on different news portals as well as in different languages.,,,,我々はジョンホプキンズ大学のコロナウィルスアウトブレイクマップが非常に有益だと思い、インスピレーションを受けました。また、データ分析のために必要なデータを集めるのに、様々な情報源や言語から調べるのがすごく難しいと感じています。,نشأت فكرة هذا المشروع بفضل خريطة بصرية لفيروس كورونا معدة من قبل جامعة جون هوبكنز و التي احتوت على معلومات دسمة و كانت ملهمة لنا للبدأ في تنفيذ هذا المشروع. و كانت أكبر عقباتنا آنذك هي صعوبة تجميع البيانات من مصادر أخرى متفرقة على منصات أخبار مختلفة و بلغات متعددة من أجل التحليل المعمق لها.,,,,Vi blev inspirerade av CoronaVirus Utbrottskarta (CoronVirus Outbreak Map) av John Hopkins universitet som var mycket informativ. Vi såg också svårigheten med att samla in data för fördjupad analys genom olika källor av spridd data på olika nyhetsportaler och dessutom på olika språk.,Kami ay humalaw ng inspirasyon sa Coronavirus Outbreak Map ng John Hopkins University na sadyang puno ng impormasyon para sa publiko. Nakita rin namin ang hirap ng pagkalap ng datos para sa mas malalimang panunuri mula sa iba't ibang nakakalat or nakahiwa-hiwalay na datos sa magkakaibang mga news portals na gumagamit din ng iba ibang wika or lenggwahe. ,"Nuestra inspiración viene del mapa de monitoreo del Coronavirus, creado por la Universidad John Hopkins. También tomamose en cuenta la dificultad de recolectar datos para analizar, provenientes de diferentes fuentes de noticias o redes sociales y hasta de diferentes idiomas. ","Wir wurden von der Coronavirus Outbreak Map der John Hopkins University inspiriert, die sehr informativ war. Wir haben auch die Schwierigkeit erkannt, Daten für eine eingehende Analyse durch verschiedene andere Quellen verstreuter Daten in verschiedenen Nachrichtenportalen sowie in verschiedenen Sprachen zu sammeln.",,,,
"Works started on the 25th of January, the first day of the Lunar New Year. Our team has been working relentlessly to make this a success, and launched officially on the 27th of January.",,,,旧正月の初日である1月25日から我々の活動が始まりました。 私たちのチームはこの活動を成功させるために毎日努力しており、1月27日に無事、正式に発足しました。,بدأ فريقنا العمل على هذا المشروع في 25 يناير، أول أيام السنة القمرية الجديدة، و استمر العمل بدون تعب أو كل للوصول للنجاح المرجو، و تم اطلاق المشروع رسميا في 27 يناير.,,,,"Arbetet startade den 25 januari, den första dagen på det kinesiska nyåret. Vårt team har arbetat hårt för att göra det här till en succé, och vi lanserade projektet officiellt den 27 januari.","Ang trabaho ay nagsimula nung Enero 25, ang unang araw ng Lunar New Year. Ang aming team ay walang habas sa pagtatrabaho upang gawin itong matagumpay, at kami ay nag-launch nitong proyekto sa madla noong Enero 27. ","Este proyecto empezó el 25 de Enero, el primer día del Año Nuevo Chino. Desde entonces nuestro equipo ha trabajado incansablemente para que el proyecto tenga éxito y fuera oficialmente lanzado el 27 de Enero.","Die Arbeiten begannen am 25. Januar, dem chinesischen Neujahrstag. Unser Team hat bis jetzt unermüdlich daran gearbeitet, das Projekt zu einem Erfolg zu machen, und ist am 27. Januar offiziell gestartet.",,,,
"We aim to use technology and make information more accessible, gather talented people all around the world to win the fight!","Kami bertujuan untuk mengunakan teknologi dan menjadikan informasi lebih mudah diperolehi, kumpulkan orang berbakat mengelilingi dunia untuk memenangi perlawanan ini!",,,我々の目標は、技術を使って情報をもっと気楽に手に入れること。才能のある人を世界中から集まって、この戦いを必ず勝ちます！,نهدف إلى استخدام التكنولوجيا، و جعل المعلومات متاحة للجميع، و كذلك تجميع المواهب الفردية حول العالم كي ننتصر في هذه المعركة.,,,,Vi strävar efter att använda teknologi och göra information mer tillgänglig och samla talangfulla personer från hela världen för att vinna den här kampen!,"Layon naming gamitin ang teknolohiya at gawing kaaya-aya at abot-kamay ang impormasyon para sa mga tao, at pagsama-samahin ang mga taong may likas na talento sa mundo upang magapi ang Covid-19 sa pamamagitan ng datos at impormasyon. ",¡Nuestra meta es usar la tecnología en mano para hacer la información más accesible y reclutar a gente talentosa de todo el mundo que nos ayude a ganar esta lucha!,"Es ist unser Ziel, Technologie einsetzen und Informationen zugänglicher zu machen, und talentierte Leute auf der ganzen Welt zu versammeln, um den Kampf zu gewinnen!",,,,
Sources,Sumber,,,情報源,المصادر,,,,Källor,Mula Sa: ,Fuentes,Quellen,,,,
